Index;Leads Id;Lead Owner;First Name;Last Name;Company;Phone1;DigitCount;Email1;Website;Source;Deal Stage;Notes;OrganizationId
1;0970F99ED4a2CE4;Bethany Dixon;Victor;Cochran;Grimes   Madden and Huff;;4;hatkinson@mclaughlin.com;http://www.rosales-molina.com/;Retargeting Ads;New Lead;Speak own such.;f9F7bBCAEeC360F
2;e9AABddbCA4AFee;Andres Callahan;Maureen;Fuentes;Crosby Inc;167279921;17;bshelton@wilkins.org;https://www.myers-mendez.biz/;Google Ads;Closed Won;Consumer environment still.;A2D89Ab9bCcAd4e
3;99CF54fE56dDc5e;Angel Ortega;Ralph;Murillo;Velasquez  Hardin;98593954112;14;mmooney@savage-shaw.com;https://www.chase-miller.com/;Chatbot;Contacted;Onto goal father easy development.;7D9FBF85cdC3871
4;5B8C661A897ACE3;Dana Mcdonald;Richard;Obrien;Barrett Ltd;2234274047;10;trankaren@parks.biz;http://watts.com/;Trade Show;Proposal Sent;Medical education throughout lay.;aeBe26B80a7a23c
5;2C7aEb5e8F432Ab;Sharon Cruz;Terri;Perry;Maddox Group;4953467238;10;katiepruitt@bauer.com;http://vincent-harvey.info/;Referral;Closed Lost;Manager poor this speak center team first.;8D0c29189C9798B
6;FFFDE1e612CB8CF;Sue Alexander;Terrance;Blackwell;Reynolds  Clay;;4;eric79@thomas-melendez.biz;https://www.david-bradshaw.org/;Content Marketing;On Hold;Grow blue lay morning computer.;9E6Acb51e3F9d6F
7;17aE538dCFAb3A6;Fernando Goodwin;Jim;Mullins;Bailey  Brock;9704563743;10;francis28@lam-carpenter.biz;http://www.sosa-rowe.com/;Retargeting Ads;Disqualified;Society food wide century actually sometimes enough.;219233e8aFF1BC3
8;D4cCab38700D04f;Mikayla Alexander;Kristine;Bradshaw;Yang Group;12314582416;14;caitlin43@cooley-gregory.net;http://www.jensen-mooney.net/;Cold Call;Closed Lost;Management do huge wear pattern easy.;Aad86a4F0385F2d
9;7Dcbb0BFF8FE6Da;Craig Johnston;Michaela;Wiggins;Glenn  Downs;18992547369;16;browningmadison@owen.org;http://www.patton.biz/;Partner Program;Qualified;Open site something which newspaper.;2a74D6f3D3B268e
10;01364e70DA532bC;Ivan Duffy;Annette;Park;Hobbs Ltd;8502419883021;13;mbarnett@deleon.info;https://www.shields.org/;Podcast;Negotiation;Teach court event.;5DCb8A5a5ca03c0
